"Horodateur,""What is your gender?"",""What is your age group?"",""What is your current level of study?"",""How many hours per week do you dedicate to studying (outside class)?"",""How would you rate your overall academic performance?"",""I create a weekly study schedule and follow it."",""I often postpone studying until the last minute."",""I set clear goals for each study session."",""I regularly assess my understanding of the material while studying."",""When I do not understand something, I look for additional resources to learn it."",""What revision strategy do you find most effective? "",""I use digital tools ( e.g., Notion, Quizlet, Google Docs, ChatGPT) to organize my studies."",""Using digital tools have improved my academic performance."",""I prefer studying in groups rather than studying alone."",""Working with classmates helps me understand difficult topics better."",""I actively contribute to group study sessions (e.g., sharing notes, explaining concepts)"",""I start revising course material well before exams."",""I use active revision techniques (e.g., practice questions, flashcards, summaries)."",""How do you stay motivated to study regularly? (Short answer)"""
"2025/11/08 12:45:07 AM UTC+1,""Female"",""22‚Äì30"",""Other"",""Less than 5 hours"",""Good"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""I love you"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""I love you"""
"2025/11/22 1:22:16 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""5‚Äì10 hours"",""Average"",""Strongly disagree"",""Neutral"",""Strongly disagree"",""Strongly agree"",""Strongly agree"",""Active Recall   Spaced Repetition  Interleaving "",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Set clear, achievable goals, use a consistent study routine, and track small wins."""
"2025/11/22 5:11:42 PM UTC+1,""Female"",""22‚Äì30"",""""""Bachelor""""‚Äôs"",""10‚Äì15 hours"",""Good"",""Agree"",""Agree"",""Neutral"",""Agree"",""Strongly agree"",""By making summaries and study notes."",""Strongly agree""""Strongly agree"",""Strongly disagree"",""Neutral"",""Disagree"",""Strongly agree""""Strongly agree""""By setting small goals."""
"2025/11/22 5:12:23 PM UTC+1,""Male"",""22‚Äì30"",""Master""‚Äôs"",""10‚Äì15 hours"",""Good"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Fin kayn nta fin kayn"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Kidayra lwalida b3da"""
"2025/11/22 5:18:46 PM UTC+1,""Female"",""22‚Äì30"",""""PhD"""",""More than 15 hours"",""Excellent"",""Strongly agree""""Strongly disagree"",""Agree"",""Agree"",""Agree"",""I prefer explaining the lesson to someone as if i were the teacher."",""Strongly agree""""Strongly agree""""Neutral"",""Agree"",""Agree"",""Strongly agree"",""Strongly agree""""I stay motivated by reminding myself of my long-term plans."""
"2025/11/22 5:19:03 PM UTC+1,""Male"",""22‚Äì30"",""Other"",""Less than 5 hours"",""""Poor"""",""Strongly agree""""Strongly disagree"",""Strongly agree""""Strongly agree""""Strongly agree"",""It is a summary of the lessons and an increase in practical work."",""Strongly agree""""Agree"",""Agree"",""Strongly agree""""Agree"",""Strongly agree""""Strongly agree""""My desire is for the best."""
"2025/11/22 5:25:09 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""10‚Äì15 hours"",""Good"",""Agree"",""Disagree"",""Strongly agree""""Strongly agree""""Strongly agree""""Read while understanding, taking a sheet of paper and writing down what you have learned, and redo exercises already done at schoo"",""Neutral"",""Agree"",""Disagree"",""Agree"",""Agree"",""Agree"",""Strongly agree""""thinking about my goal and my dreams"""
"2025/11/22 5:26:37 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""5‚Äì10 hours"",""Good"",""Agree"",""Neutral"",""Strongly agree""""Agree"",""Agree"",""Self-assessment and practice - organization and time planning"",""Strongly agree""""Strongly agree""""Agree"",""Agree"",""Strongly agree""""Agree"",""Strongly agree"",""Achievable goals and rewarding myself for milestones !"""
"2025/11/22 5:31:14 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""Less than 5 hours"",""Good"",""Strongly agree""""Agree"",""Agree"",""Agree"",""Agree"",""Do it in 3 part : first reading and getting the context, second understanding and third learning "",""Agree"",""Agree"",""Neutral"",""Strongly agree""""Agree"",""Disagree"",""Agree"",""Thinking about failure to get motivation """
"2025/11/22 5:44:32 PM UTC+1,""Male"",""22‚Äì30"",""""Bachelor""‚Äôs"",""Less than 5 hours"",""Good"",""Disagree"",""Strongly agree"",""Disagree"",""Agree"",""Neutral"","""",""Agree"",""Agree"",""Neutral"",""Agree"",""Agree"",""Neutral"",""Agree"","" Long time benefits """
"2025/11/22 5:54:52 PM UTC+1,""Female"",""22‚Äì30"",""""Bachelor""‚Äôs"",""Less than 5 hours"",""Average"",""Disagree"",""Strongly agree""""Disagree"",""Agree"",""Strongly agree""""I have to understand for it to stick, after understanding I write all i have leatned in papers to check later"",""Strongly disagree"",""Neutral"",""Strongly disagree"",""Disagree"",""Neutral"",""Agree"",""Agree"",""Work well under pressure,last minute preparation """
"2025/11/22 6:13:32 PM UTC+1,""Female"",""22‚Äì30"",""""PhD"""",""Less than 5 hours"",""Good"",""Neutral"",""Agree"",""Neutral"",""Neutral"",""Strongly agree"""""",""Agree"",""Agree"",""Strongly disagree"",""Strongly disagree"",""Agree"",""Neutral"",""Strongly agree"""""""
"2025/11/22 6:14:56 PM UTC+1,""Female"",""18‚Äì22"",""Other"",""Less than 5 hours"",""Good"",""Agree"",""Disagree"",""Strongly agree"",""Agree"",""Agree"",""The brainstorming process "",""Strongly agree""""Agree"",""Agree"",""Neutral"",""Agree"",""Agree"",""Agree"",""Should be """
"2025/11/22 6:15:38 PM UTC+1,""Male"",""22‚Äì30"",""Master""‚Äôs"",""Less than 5 hours"",""Good"",""Agree"",""Neutral"",""Agree"",""Disagree"",""Agree"","""",""Agree"",""Agree"",""Strongly disagree"",""Neutral"",""Neutral"",""Disagree"",""Neutral"","""""
"2025/11/22 6:16:25 PM UTC+1,""Male"",""22‚Äì30"",""Other"",""Less than 5 hours"",""Good"",""Agree"",""Neutral"",""Agree"",""Agree"",""Agree"","""",""Strongly agree""""Neutral"",""Agree"",""Strongly agree""""Strongly agree""""Neutral"",""Strongly agree"""""""
"2025/11/22 6:17:15 PM UTC+1,""Male"",""22‚Äì30"",""Master""‚Äôs"",""5‚Äì10 hours"",""Excellent"",""Neutral"",""Neutral"",""Agree"",""Neutral"",""Neutral"","""",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Agree"",""Neutral"","""""
"2025/11/22 6:43:42 PM UTC+1,""Female"",""18‚Äì22"",""Master""‚Äôs"",""Less than 5 hours"",""Good"",""Agree"",""Neutral"",""Strongly agree""""Agree"",""Strongly agree""""The revision strategy I find most effective is a two-step approach: first, I take a break after writing so I can come back with a fresh mind. Then I read the text out loud and focus on one element at a time-clarity, structure, grammar, and tone. This helps me catch mistakes I wouldn‚Äôt notice ""Other""wise and ensures the final version is organized, clear, and polished."",""Strongly agree""""Strongly agree""""Neutral"",""Neutral"",""Neutral"",""Agree"",""Agree"",""by setting small goals, keeping a clear study schedule, and reminding myself of the long-term benefits I‚Äôm working toward."""
"2025/11/22 7:08:28 PM UTC+1,""Female"",""22‚Äì30"",""""Bachelor""‚Äôs"",""5‚Äì10 hours"",""Excellent"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""I find that active recall is the most effective revision strategy for me . Instead of just rereading my notes, i prefer to test myself, explain topics out loud, and practise questions. I notices that trying to remember information without looking helps i understand it better and keep it in i memory for much longer."",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""I still remember my future vision """
"2025/11/22 7:10:39 PM UTC+1,""Male"",""18‚Äì22"",""""Bachelor""‚Äôs"",""5‚Äì10 hours"",""Good"",""Agree"",""Strongly disagree"",""Agree"",""Agree"",""Strongly agree""""The most effective revision strategy is combining active recall with spaced repetition, because testing yourself and reviewing material over time helps you remember information much longer."",""Agree"",""Neutral"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""I stay motivated by setting small goals, keeping a consistent routine, and reminding myself of the long-term benefits."""
"2025/11/22 7:14:05 PM UTC+1,""Female"",""22‚Äì30"",""""PhD"""",""10‚Äì15 hours"",""Average"",""Strongly disagree"",""Neutral"",""Strongly agree""""Neutral"",""Strongly agree"""""",""Strongly agree""""Strongly agree""""Agree"",""Agree"",""Agree"",""Agree"",""Strongly agree"""""""
"2025/11/22 7:49:25 PM UTC+1,""Male"",""18‚Äì22"",""""Bachelor""‚Äôs"",""5‚Äì10 hours"",""Excellent"",""Neutral"",""Neutral"",""Disagree"",""Neutral"",""Agree"",""I find the ‚Äúreview ‚Üí rewrite ‚Üí refine‚Äù strategy most effective. First, review the work, then rewrite unclear parts, and finally refine language and flow."",""Disagree"",""Neutral"",""Disagree"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""I stay motivated by setting small goals, tracking my progress, and rewarding myself after completing tasks."""
"2025/11/22 8:21:07 PM UTC+1,""Female"",""18‚Äì22"",""""Bachelor""‚Äôs"",""More than 15 hours"",""Good"",""Agree"",""Neutral"",""Agree"",""Neutral"",""Strongly agree""""Review what I‚Äôve learned in a spaced interval "",""Strongly agree""""Strongly agree""""Strongly agree""""Strongly agree""""Agree"",""Agree"",""Agree"",""Writing small goals to achieve """
"2025/11/22 8:22:49 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""5‚Äì10 hours"",""Excellent"",""Agree"",""Neutral"",""Strongly agree""""Strongly agree""""Strongly agree"""""",""Strongly agree""""Agree"",""Disagree"",""Neutral"",""Neutral"",""Agree"",""Agree"","""""
"2025/11/22 8:40:21 PM UTC+1,""Male"",""Under 18"",""Other"",""5‚Äì10 hours"",""Excellent"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Science and g√©ographie "",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Bye learning """
"2025/11/22 8:46:58 PM UTC+1,""Male"",""30 or older"",""""Bachelor""‚Äôs"",""10‚Äì15 hours"",""Good"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Math√©matiques "",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""To graduat"""
"2025/11/22 8:51:25 PM UTC+1,""Female"",""30 or older"",""""Bachelor""‚Äôs"",""10‚Äì15 hours"",""Good"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""to graduat"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"","""""
"2025/11/22 8:54:17 PM UTC+1,""Male"",""22‚Äì30"",""""Bachelor""‚Äôs"",""Less than 5 hours"",""Excellent"",""Strongly disagree"",""Neutral"",""Neutral"",""Strongly disagree"",""Disagree"","""",""Strongly agree""""Strongly agree""""Strongly agree""""Strongly agree""""Strongly agree""""Agree"",""Agree"","""""
"2025/11/22 9:36:05 PM UTC+1,""Female"",""22‚Äì30"",""""Bachelor""‚Äôs"",""Less than 5 hours"",""Good"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""B"",""Neutral"",""Disagree"",""Disagree"",""Disagree"",""Neutral"",""Neutral"",""Neutral"",""B"""
"2025/11/22 9:43:02 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""Less than 5 hours"",""Good"",""Disagree"",""Disagree"",""Disagree"",""Neutral"",""Strongly agree""""Last minute revision"",""Agree"",""Agree"",""Agree"",""Agree"",""Neutral"",""Disagree"",""Disagree"",""Nothing"""
"2025/11/22 9:50:32 PM UTC+1,""Male"",""22‚Äì30"",""Master""‚Äôs"",""5‚Äì10 hours"",""Good"",""Agree"",""Agree"",""Agree"",""Neutral"",""Agree"",""Summaryzing lessons"",""Strongly agree""""Strongly agree""""Neutral"",""Agree"",""Neutral"",""Agree"",""Agree"",""Setting goals """
"2025/11/22 10:37:38 PM UTC+1,""Male"",""22‚Äì30"",""Master""‚Äôs"",""5‚Äì10 hours"",""Good"",""Agree"",""Neutral"",""Strongly agree""""Agree"",""Strongly agree"""""",""Strongly agree""""Disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Agree"",""Agree"","""""
"2025/11/23 10:05:17 AM UTC+1,""Female"",""18‚Äì22"",""Other"",""5‚Äì10 hours"",""Good"",""Neutral"",""Agree"",""Neutral"",""Neutral"",""Agree"",""Flashcards"",""Agree"",""Agree"",""Neutral"",""Neutral"",""Agree"",""Agree"",""Strongly agree"","" I stay motivated because I really need to pass the exam ‚Äî failing or skipping it is not an option, so I push myself to study regularly."""
"2025/11/23 3:30:03 PM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""Less than 5 hours"",""Good"",""Agree"",""Neutral"",""Strongly agree""""Neutral"",""Strongly agree"""""",""Strongly agree""""Strongly agree""""Strongly agree""""Strongly agree""""Agree"",""Agree"",""Strongly agree"""""""
"2025/11/23 7:51:51 PM UTC+1,""Female"",""22‚Äì30"",""""PhD"""",""10‚Äì15 hours"",""Average"",""Neutral"",""Strongly agree""""Agree"",""Agree"",""Strongly agree""""hard to understand. When the questionnaire is designed for people outside the classes, please try to avoid the terms such as """"strategy"""", or explain it with examples  and sentences"",""Strongly agree""""Strongly agree""""Strongly disagree"",""Disagree"",""Agree"",""Agree"",""Neutral"",""make the day checklist"""
"2025/12/06 10:27:31 AM UTC+1,""Female"",""22‚Äì30"",""Master""‚Äôs"",""Less than 5 hours"",""Good"",""Neutral"",""Disagree"",""Neutral"",""Agree"",""Agree"",""Try to do it 3 times"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Treat myself """
"2025/12/06 1:40:31 PM UTC+1,""Male"",""30 or older"",""""PhD"""",""Less than 5 hours"",""""Poor"""",""Disagree"",""Strongly agree""""Disagree"",""Disagree"",""Agree"",""Active recalling during the study session"",""Agree"",""Agree"",""Strongly disagree"",""Disagree"",""Agree"",""Disagree"",""Agree"",""With time regualiton"""
"2025/12/06 09:20:33 AM UTC+1,""Male"",""22‚Äì30"",""Other"",""5‚Äì10 hours"",""Good"",""Agree"",""Neutral"",""Agree"",""Agree"",""Strongly disagree"",Explaining the lesson to someone else,""Strongly disagree"",""Agree"",Dis""Agree"",""Neutral"",Dis""Agree"",""Agree"",""Agree"",Rewarding myself after completing tasks"
"2025/12/06 11:55:18 AM UTC+1,""Female"",Under 18,""Bachelor""‚Äôs,""5‚Äì10 hours"",""Average"",Dis""Agree"",""Strongly disagree"",Dis""Agree"",""Neutral"",Dis""Agree"",Flashcards and self-testing,Dis""Agree"",""Strongly"" dis""Agree"",""Agree"",""Agree"",""Agree"",Dis""Agree"",Dis""Agree"",Studying with friends for accountability"
"2025/12/06 03:10:05 PM UTC+1,""Male"",""22‚Äì30"",""Master""‚Äôs,Less than 5 hours,""Poor"",""Strongly"" dis""Agree"",""Strongly disagree"",""Strongly"" dis""Agree"",""Strongly"" dis""Agree"",Dis""Agree"",Group study sessions,Dis""Agree"",Dis""Agree"",""Neutral"",""Neutral"",""Neutral"",""Strongly"" dis""Agree"",Dis""Agree"",Visualizing success and graduation"
"2025/12/05 10:40:55 AM UTC+1,""Female"",""18‚Äì22"",""""Other"""",""5‚Äì10 hours"",Excellent,""Strongly disagree"",""Strongly"" dis""Agree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",Mind maps and visual aids,""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",Avoiding procrastination by starting early"
"2025/12/05 01:30:15 PM UTC+1,""Male"",30 or older,""Bachelor""‚Äôs,More than 15 hours,""Good"",""Agree"",Dis""Agree"",""Agree"",""Agree"",""Agree"",Breaking study into small chunks,""Agree"",""Agree"",Dis""Agree"",Dis""Agree"",Dis""Agree"",""Agree"",""Agree"",Tracking progress in a study journal"
"2025/12/05 05:25:40 PM UTC+1,""Female"",""22‚Äì30"",""PhD"",""5‚Äì10 hours"",""Good"",""Neutral"",""Neutral"",""Agree"",""Neutral"",""Agree"",Review → Rewrite → Refine,""Neutral"",""Neutral"",""Strongly"" dis""Agree"",""Strongly"" dis""Agree"",""Strongly"" dis""Agree"",""Neutral"",""Neutral"",Reminding myself of long-term goals"
"2025/12/05 08:05:27 AM UTC+1,""Male"",""18‚Äì22"",""Master""‚Äôs,Less than 5 hours,""Average"",""Agree"",""Agree"",""Neutral"",""Agree"",""Neutral"",Pomodoro technique (25 min study, 5 min break),""Agree"",""Agree"",""Neutral"",""Agree"",""Neutral"",""Agree"",""Agree"",Making study materials interactive"
"2025/12/05 11:45:33 PM UTC+1,""Female"",""22‚Äì30"",""Bachelor""‚Äôs,""5‚Äì10 hours"",""Good"",""Agree"",Dis""Agree"",""Strongly disagree"",""Agree"",""Strongly disagree"",Spaced repetition with Anki,""Strongly disagree"",""Strongly disagree"",Dis""Agree"",""Neutral"",Dis""Agree"",""Agree"",""Strongly disagree"",Taking regular breaks to avoid burnout"
"2025/12/05 02:20:18 AM UTC+1,""Male"",Under 18,""Other"",Less than 5 hours,""Poor"",Dis""Agree"",""Strongly disagree"",Dis""Agree"",Dis""Agree"",""Neutral"",Teaching the material to peers,""Neutral"",""Neutral"",""Agree"",""Agree"",""Agree"",Dis""Agree"",""Neutral"",Studying in a dedicated quiet space"
"2025/12/05 04:55:42 PM UTC+1,""Female"",30 or older,""Master""‚Äôs,""5‚Äì10 hours"",Excellent,""Strongly disagree"",""Strongly"" dis""Agree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",Interleaving different subjects,""Strongly disagree"",""Strongly disagree"",""Neutral"",""Agree"",""Neutral"",""Strongly disagree"",""Strongly disagree"",Listening to focus music"
"2025/12/05 09:10:29 AM UTC+1,""Male"",""22‚Äì30"",""PhD"",""5‚Äì10 hours"",""Good"",""Neutral"",""Neutral"",""Agree"",""Neutral"",""Agree"",Practice exams under timed conditions,""Agree"",""Agree"",""Strongly"" dis""Agree"",""Strongly"" dis""Agree"",""Strongly"" dis""Agree"",""Neutral"",""Agree"",Using productivity apps and timers"
"2025/12/05 01:35:14 PM UTC+1,""Female"",""18‚Äì22"",""Bachelor""‚Äôs,Less than 5 hours,""Average"",""Neutral"",""Agree"",""Neutral"",""Neutral"",Dis""Agree"",Summarizing in own words,Dis""Agree"",Dis""Agree"",""Agree"",""Agree"",""Agree"",""Neutral"",""Neutral"",Joining online study communities"
"2025/12/05 07:50:03 AM UTC+1,""Male"",""22‚Äì30"",""Other"",More than 15 hours,""Good"",""Agree"",Dis""Agree"",""Agree"",""Agree"",""Strongly disagree"",Creating concept maps,""Agree"",""Agree"",Dis""Agree"",Dis""Agree"",Dis""Agree"",""Agree"",""Agree"",Setting deadlines for each chapter"
"2025/12/05 03:15:47 PM UTC+1,""Female"",30 or older,""Bachelor""‚Äôs,""5‚Äì10 hours"",""Good"",""Agree"",""Neutral"",""Agree"",""Agree"",""Agree"",Self-quizzing regularly,""Agree"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Agree"",""Agree"",Keeping a study playlist"
"2025/12/05 10:25:36 AM UTC+1,""Male"",""18‚Äì22"",""Master""‚Äôs,""5‚Äì10 hours"",Excellent,""Strongly disagree"",""Strongly"" dis""Agree"",""Strongly disagree"",""Strongly disagree"",""Strongly disagree"",Using mnemonics and memory techniques,""Strongly disagree"",""Strongly disagree"",""Agree"",""Strongly disagree"",""Agree"",""Strongly disagree"",""Strongly disagree"",Visualizing the end result"
"2025/12/05 02:40:22 PM UTC+1,""Female"",""22‚Äì30"",""PhD"",Less than 5 hours,""Average"",Dis""Agree"",""Agree"",Dis""Agree"",""Neutral"",""Neutral"",Regular review sessions,""Neutral"",""Neutral"",""Strongly"" dis""Agree"",Dis""Agree"",""Strongly"" dis""Agree"",Dis""Agree"",""Neutral"",Remembering why I started"
"2025/12/05 08:05:11 AM UTC+1,""Male"",Under 18,""Bachelor""‚Äôs,""5‚Äì10 hours"",""Good"",""Agree"",Dis""Agree"",""Agree"",""Agree"",""Strongly disagree"",Active recall with flashcards,""Strongly disagree"",""Strongly disagree"",""Neutral"",""Agree"",""Neutral"",""Agree"",""Strongly disagree"",Breaking tasks into small pieces"
